,Title of Review,Review Description,Date of Review,No. of stars
10,Great meal at the Stratford Upon Avon…,Great meal at the Stratford Upon Avon restaurant. Really fresh tasting food . Although a very busy Saturday all staff were pleasant and professional. It seemed like there was great team work amongst the staff to keep all the customers happy.  Would definitely return.,"Aug 28, 2023",Rated 5 out of 5 stars
11,We visited Zizzi Loughton on 2nd…,"We visited Zizzi Loughton on 2nd August. On the 23rd August we received a PCN from Gemini parking solutions. They claimed we had parked without authorisation in their car park. We had not been told by the restaurant staff to register our car number.We decided to appeal, we sent an appeal letter; the Royal Mail have confirmed delivery together with a signature. We received no response from our appeal letter despite trying to phone Gemini but never got to speak to human. We received a letter from a debt collection agency instead. We have even emailed Zizzis head office we got no response. I feel as if we have been scammed by Gemini and may be Zizzis too. We will not be ever visiting a Zizzis ever again if this matter remains unresolved!","Sep 22, 2023",Rated 1 out of 5 stars
12,The food there is amazing,The food there is amazing! I had the rainbow vegetarian lasagna! The beeest ever!! Ola was a great waiter! She did everything she could so we’d have a great expenrience! I d give them 10 stars if I could!,"Oct 1, 2023",Rated 5 out of 5 stars
13,Bluewater. Disappointingly poor.,Bluewater.Crumbs and debris left at table chairs / benches which I had to clean off myself. Online ordering / payment system flawed. I would suggest ditching until it’s developed and tested to the standard of the pizza express one. Meal I wanted from the menu not available and was not told at time of being seated. Only discovered when tried to order it.Food quality fine but not outstanding so didn’t balance out issues described above.,"Aug 12, 2023",Rated 2 out of 5 stars
14,Just walked away from Zizzis Meadowhall…,Just walked away from Zizzis Meadowhall completely shocked by the disgusting attitude of waiter who greeted us by mocking us for our  rightly using Tesco vouchers on previous visits no “hello” or “welcome”just mockingly said” have you come to spend your 25p” and when I asked was that a problem he waved us off with a menu over other customers heads telling us to go to the other Zizzis in the town centre. Never been so appalled in my life. Reported to Tesco club card also. If you have a problem partnering with people don’t do It!,"Sep 4, 2023",Rated 1 out of 5 stars
15,I can’t understand the poor reviews on…,"I can’t understand the poor reviews on here regarding Zizzi’s , the one in Hitchin is excellent  Perhaps it’s some of their competitors!!! We have been here before with our daughter who loved it (and she very fussy about food). It was our 47th wedding anniversary and we booked a table for 20:00, we arrived early but they had our table ready, they were all very polite and friendly, all the food was excellent can’t give them anything else but a 5 start rating.","Jul 2, 2023",Rated 5 out of 5 stars
16,We walked away,We walked away from the restaurant in Bedford because of the poor customer service attitude. No wonder there was hardly anyone in there at a peak time of the day. Having written in and complained I was even more disgusted at the dismissive response from the branch manager with a discount voucher off food. Why would you return when attitude to the customer is so poor. You would think the Head Office would care about the brand reputation but they are ignoring this too,"Sep 9, 2023",Rated 1 out of 5 stars
17,Zizzi’s Westfield London was horrible,"Zizzi’s Westfield London was horrid. Went for my boyfriends birthday lunch just the two of us, came to £70 for one drink each, a starter to share and a main each!! Absolutely outrageous money for such little reward! The loaded fries were soggy and burnt at the same time (how’s this possible??) the garlic bread we got was cold and wasn’t what it said on the menu as it had 2 ingredients which weren’t listed and none of the ones that were! The carbonara was watery and had no flavour whatsoever, the rustica pizza was the only redeeming thing but even then it was so pricy at £16! Drinks were okay apart from my boyfriend’s cocktail had a fly in it the first time and the second one was watery and had no taste. Staff were nonchalant with us and seemed to be just getting through their shift. Would not recommend!!!","Sep 17, 2023",Rated 1 out of 5 stars
18,Received outstanding service,I went into Lancaster Zizzi restaurant on the 27th April 2023. I am careful where i go to eat due to my allergies.I know Zizzi is very good dealing with people with allergies. Yesterday i received outstanding service of Alex who made sure everything was okay for me. I would also like to mention all the chefs was very careful preparing my meals.,"Apr 28, 2023",Rated 5 out of 5 stars
19,Zizzi gets a thumbs up from us,"Been a while since dining at Zizzi, visited the Inverness one on Bridge Street yesterday. Had a lovely time, very good service, almost unbelieable quickness after ordering. Couple from Holland sat down next to us, enquired what I was eating as it looked so good, ""Rustica Chicken & Fiery Roquito"" he went on to order it too. My wife had the ""NEW ⭐ Truffle & Pancetta Carbonara"" she was actually pleased with it being a smaller portion than usual, (being 5ft 0"" and a small eater) but made up for it in taste. Loved it, restaurant has been refurbed since last visit & we will be back. Price is ok, compared with say Dominos its a steal to be served rather than takeaway, would love to see a deal for locals, as we are busy with tourists in the summer months.","May 26, 2023",Rated 4 out of 5 stars
20,Fabulous Meal at Zizzi's Meadow Hall today…,"We went to Zizzi's in Meadow Hall today and were delighted by the quality of the food and the fast and efficient service. The place was rammed, so we worried we might have to wait quite a while, but we were delighted to be served quickly and efficiently.   The staff in there always work so hard, and they seem to be the same faces every time, so they clearly enjoy working there and know how to deliver great service. I like the Zizzi food everywhere, but the Meadow Hall restaurant really do deliver Zizzi at its very best - both in terms of fabulous food quality and tremendous service. No wonder the place is always so busy - great job/well done.","May 20, 2023",Rated 5 out of 5 stars
21,Disappointing,"Visited Canterbury Zizzi, the woman who was supposed to welcome us & show us to our table was down right rude & seemed as if she couldn’t be bothered. The restaurant didn’t look tidy but it was clean. The food was not up to standard i.e. garlic bread was burnt, sauce was runny & chicken was chewy.The man that served us was reasonably pleasant. Needless to say I & my guests won’t be in any hurry to return.","Aug 17, 2023",Rated 2 out of 5 stars
22,Supurb food and faultless service at…,"Supurb food and faultless service at the Staines, Two Rivers restaurant, probably the best 'Piccante' pizza I have ever had, even better than the ones we had in Italy last year! Served by Kasia (TBL 115 9026) who was amazing, friendly and efficient and explained all about the Zillionaires club, she's a credit to Zizzi's! Fast service. We will definitely be back soon. Thank you","Mar 4, 2023",Rated 5 out of 5 stars
23,Zizzi’s Kingston,Another wonderful evening at zizzi’s! We have 2 additional needs children and we find this one of the most inclusive restaurants ever! Your Scottish manager is just superb!! So engaging and ooze’s customer service!! We will always come back because of him and the amazing staff and then the food!!! Well what can I say it was just Delicious!!! Thank you for helping parents like us have a bit of normality!! We will forever be loyal customers!,"Aug 19, 2022",Rated 5 out of 5 stars
24,Lovely Treat,Treated myself to lunch at Zizzi's Worcester today. Great welcome by a charming helpful young man. Prompt service and the Chef especially adapted my pasta because if my dietary needs. Lunch was hot and delicious.  Top notch experience which made my day - thank you.,"Jan 4, 2023",Rated 5 out of 5 stars
25,Trafford Centre Manchester,"Trafford Centre ManchesterAvoid this restaurant at all cost, so today 20TH OCT 23 went to the Trafford Centre, we wanted Italian food for a change so got in the queue at 3pm at Zizi, there was 4 young girls in front then My wife and I plus a couple behind waiting in the queue, so we waited and waited, I could see some of the customers looking for service, looking for a member of staff, but to no avail, we are still waiting, still waiting, at this point the couple behind us at the same time decided this is not for us, we went to EST, 30 seconds away, we were greeted sat down and within 4 miniuts orderd our drinks (perfect), so after about 6-7 miniuts the 4 girls in front of us turn up sat down and within a few mins ordered drinks, what a shambles Zizi lost 8 customers in 5 minutes what a MESS how you are in business I will never know, so when we arrived home ( IT GETS EVEN WORSE ) we advised our 21 year old son what happened today, we described what happened, before we said what restaurant we ate at he said was it Zizi where we had the bad meal at Meadow Hall, YES IT WAS APPALING, I suggest you either CLOSE DOWN or bring in the Ex Bella Italia CEO.................GOOD LUCK....","Oct 20, 2023",Rated 1 out of 5 stars
26,Staff very attentive and amazing,"Staff very attentive and amazing, good came out hot and fast, free glass of bubbly for our anniversary, lovely cocktails this was at Westfield's Stratford","Updated Jul 31, 2023",Rated 5 out of 5 stars
27,Great experience and tasty food,"Visited Bournemouth Zizzi restaurant Thursday 21st July, with my family. Lovely atmosphere and everything was very clean. Our waiter was Antonio, he was very pleasant, great service and it was lovely to engage. He recommended us cocktails, absolutely great choice. Will definitely visit again. Thank you 😊","Updated Jul 23, 2022",Rated 5 out of 5 stars
28,Disappointing meal at High Wycombe…,Disappointing meal at High Wycombe branch. Paid £66 for a meal which included bruschetta - their idea of bruschetta consisted of two slices of toast with 6 tomatoes cut in half by the side and a teaspoon of pesto - THIS IS NOT bruschetta! I would also advise against ordering the sharing platters - not worth the £16. The staff inturrupted our starters to tell us the mains were ready and asked if we'd finished our starters when it was clear we were still eating. We felt our meal was rushed and uncomfortable. My wife asked for a box for her remaining pizza and the waitress threw the empty box on the table for my wife to pack up her remaining pizza. Not what I would expect of serving staff. Obviously little or no training given to their staff. Avoid! Avoid! Avoid!I didn't complain to the manager as I thought it would be pointless and just wanted to leave as soon as possible.Needless to say we willl not be visiting this restaurant again.,"Aug 26, 2023",
29,Zizzi Pork Belly (hardly any meat),"Zizzi Bromley I ordered Herb rolled porchetta pork belly with crispy crackling and Roquito hot honey. Served with rainbow heritage carrots, garlic spinach and cubetti diced potatoes, what came was a tiny piece pork belly. Tons of potatoes few bits of chopped carrot, no crackling. Not at all worth £17! I told manageress not happy to pay for it, she said she completely understood, she said I wasn't first to complain. They offered me a different main, but my daughter had hers already so I just had a starter. They gave me this free of charge. Manageress and waitress were so apologetic.","Jun 9, 2023",Rated 2 out of 5 stars
30,Well done Wez & Matt,"We ate at Zizzi’s Cheshire oaks on 17/11/22.  The food was delicious and our servers, Wes and Matt where exceptional. Especially Wes who talked us through the menu, suggested alternative wines as they had no pino and was prepared to change it (foc) if I didn’t like it. He also had the patience to guide me through the “buy a gift” app and arrange a phone charger incase my phone died.  We’ll done lads and thank you 👏👏👏","Nov 20, 2022",
31,Lovely meal and welcome at Newcastle…,Lovely meal and welcome at Newcastle Zizzi never been before to this chain - only downside is we found portion sizes were massive for kids and adults . One adult meal is something both me and me husband would share at home 😂,"Feb 10, 2023",
32,Zizzi in the Derbion centre,"Zizzi in the Derbion centre, Derby we have been a frequent visitor at this restaurant and really enjoyed it in the past. However tonight that changed the food was awful, the waitress was rude and very unprofessional (blew her nose never even washed her hands). It got worse we wanted a pudding to be told they hadn’t got it, then was told they had found some (in the freezer I think). So tonight was our last visit there.","Jul 24, 2023",Rated 1 out of 5 stars
33,Maidstone Zizzi is good as usual.,"Maidstone Zizzi is good as usual, could only pay with card at this location (not sure if it's down to head office and have e-mailed all Zizzi restaurant location to only take card payments), would have preferred to pay cash this time.","Aug 25, 2023",
34,Went to Zizzi Tower Hamlet London,Went to Zizzi Tower Hamlet London. Great food but service exceptional. One guy was the ultimate salesman. Ended up in there all afternoon drinking Rose' after our meal. Great way to finish our short London stay off,"Sep 9, 2022",Rated 5 out of 5 stars
35,Would not accept a company voucher for lunch,We had recived a voucher for zizzi and decided on a luchtime that we would pop in to try the Zizzi experience. Was Informed prior to seating that our voucher would not be acceptable on a Friday or a Saturday - as advised by the Head-office. Very dissappointed and would not return as I percieve this to be a scam.,"Aug 26, 2023",Rated 1 out of 5 stars
36,Rubbish,"Reading Oracle.  Food.. bland... awful. MUSHROOM starter... frozen seabass, fresh pasta is definitely not fresh.. I would say pound land pasta. Avoid at all cost. Manager and  waiter Clive.. really nice and welcoming. ( FOR £77.00 definitely not worth it!!!)","Aug 15, 2023",
37,Milton Keynes - I went with my family to celebrate my son’s birthday,"I went with my family to celebrate a special birthday for my son.  There were 16 of us.  We had a super afternoon in the restaurant.  The manager, Tony, had sorted a corner for us where we had plenty of space and could be relaxed with 8 children!  The staff were welcoming, so helpful and a joy to be with, from beginning to end.  The food was really nice.  We were served by Anmol who worked tirelessly to take care of our every need - nothing was too much trouble for him.  What a joy - thank you to all for what was a truly memorable occasion for us all.","Updated Mar 21, 2023",Rated 5 out of 5 stars
38,I left a review as requested but it…,"I left a review as requested but it didn't ask about the service or the staff. Whilst I was not completely happy with the meal, the waitress Esne was lovely, helpful and the service was good. It was my daughter's birthday and I took a cake which they brought over at the right time and sang Happy Birthday.","Jun 3, 2023",
39,29/07/23 Having booked a table for four…,"29/07/23 Having booked a table for four we had an afternoon meal at Zizzi's, Loughton. The food was reasonable, but I was disappointed that the prawn starter now came with a dip, and not the smokey tangy sauce that it had previously been served with. The serving staff were all very good. When it came to paying the bill I tried to pay part of the bill with a gift card. All four serving staff tried numerous times to access it, but with no good result, I eventually paid the bill in full by credit card. Between subtle differences in the food presentation and paying the bill I found the experience disappointing. The next evening the card was taken, on the first occasion it was presented, as part payment of a meal at a local Nando's restaurant. If this is a ploy by Zizzi to get immediate full payment from customers they have now lost a very regular customer.","Jul 30, 2023",Rated 2 out of 5 stars
40,Lovely lunch in Bournemouth Square,"We popped in for lunch on BH Monday. Was given a choice of tables and made to feel very welcome. Food was excellent, and very speedy service. Laura was our server, she was so lovely; we had a joke together, had food suggestions and nothing felt too much to ask.","May 29, 2023",Rated 5 out of 5 stars
41,Zizzi in Milton Keynes - ignored by the manager.,Visited Zizzi in Milton Keynes.Food very nice.Before ordering I asked a waitress for confirmation that a discount card I had was valid and the offer stated for a free starter for each main meal was valid - she confirmed it was.Bill came with all starters charged.Queried bill and just 1 starter was removed - then told offer only allowed for 1 starter for the table.I pointed out the fine print text on the accompanying app and the waitress said she'd fetch the manager to confirm.Manager never came so we paid and left.If the manager was too scared to come and speak to us the very least they could have done was to have sent an apology note.,"Aug 9, 2023",Rated 1 out of 5 stars
42,Avoid the Ladies' toilets!,"Went to Zizzi Canterbury for a pre-theatre meal. The restaurant was quiet but it took a long time for anyone to ask for our order. Staff seemed to be standing around but not coming to us.Food was ok - not particularly hot, but acceptable.Toilets, however, were a complete disaster.  There appeared to be no facilities for anyone with mobility issues: gents toilets ground floor, ladies' upstairs. The ladies only had 2 cubicles, with one of those out of order. The area was tiny, cramped and looked like someone had thrown paint at the walls - it was all very carelessly done. Even the basin had paint over it!  Generally not looked after and everywhere felt a bit grubby.Fortunately in Canterbury there are lots of other pizza options - we won't be returning to Zizzi.","Oct 10, 2022",Rated 3 out of 5 stars
43,Zizzi Hull,"I received a call 2 hours before my booking at Hull Zizzi to inform me the pizza oven was broken, and did I still want my booking. I agreed as it was pretty late to find anywhere else.Our waitress was lovely, but the general atmosphere was poor.We asked if we could have complimentary fries due to the inconvenience, but this was refused by the chef. We did order fries, but these came after our meal, they seem to have been forgotten.The food we received was tasty (apart from the small bowl of free pasta chips) but VERY expensive.Sadly I would not return to this restaurant.","Jun 8, 2023",Rated 2 out of 5 stars
44,As a regular visitor to zizzi solihull…,"As a regular visitor to zizzi solihull I have rarely been disappointed. Our visit today the meals were of a high standard and the king prawn linguini deserves a rave review, thanks to chef Martin. Our number 1 eatery in solihull.","Apr 13, 2023",Rated 5 out of 5 stars
45,Will go back,"Just been out with a friend to Zizzi's in Plymouth.The staff were really friendly, courteous and professional.We both ordered the same meal, crab cannelloni. The sauce and flavours were lovely, however the cannelloni was undercooked.  We asked if it could be cooked for longer. They were very apologetic, said they would recook us fresh meals and the Manager, gave us the meals free. This is excellent customer service, they couldn't of done any more for us. I will certainly be going back there and would highly recommend them.","Jan 12, 2023",Rated 4 out of 5 stars
46,We went to Zizzi Bankside on Saturday…,"We went to Zizzi Bankside on Saturday 20/05/23. Awful service, didn’t get our food for 1.5 hours despite asking several times. Complained to head office and received £30 voucher. My daughters have gone to Zizzi St Giles this evening and have been told after waiting 1 hour for food that the order had been lost Definitely won’t be using Zizzi restaurant again","May 25, 2023",Rated 1 out of 5 stars
47,Poor,Nottingham restaurant ...Tables too close togetherOver done pasta in a waterybland sauceNo pinot grigio No pesto russoDry chicken Had to ask for cutlery then dumped downNo pepper or parmesan offeredNever asked if food was okTomato sauce was just raw tomatoes on starter,"Nov 23, 2022",Rated 2 out of 5 stars
48,It was different,We did everything on the app which my son has done before. It was okay the drinks came quickly the starter came quickly but the main took forever. The staff were lovely especially Scarlet the waitress she was so helpful and got a pudding for my grandson quicker as we had finished our dinner and we’re waiting for ages for for his desert. nothing was too much trouble for her and she was very very friendly.,"Sep 17, 2022",Rated 3 out of 5 stars
49,Birthday meal 👍…,Went Zizzi in Stafford for my birthday meal.Enjoyed excellent food and excellent service from a young and enthusiastic staff. Not the cheapest restaurant of this type in the area but probably the best Highly recommend Thank you Zizzi made my 73rd birthday very enjoyable 😄,"Aug 5, 2022",
50,"Late lunch, enjoyable experience.","Our meal was late lunch near Covent Garden. One of us was gluten free and this did not create an issue. A server supported this diner and offered options. All the food was excellent, friendly staff, tables clean and we were not rushed through our meal. At a very reasonable price we would happily go back.","Sep 6, 2022",
51,Good food but not as advertised,"Menu stated spaghetti with cheesy carbonara sauce, with bacon lardons and chorizo,but what was served was the above minus chorizo. When we asked about the chorizo we were informed it had nothing to do with them, as the sauce came pre made, shocked in itself, although the floor manager was very apologetic, the general manager was very ignorant and was basically saying tough luck, his attitude stunk to high heaven about our experience.The waitress was first class as was initial floor manager.But Zizzi’s response was very poor. We won’t be back as long as that general manager is there, a disgrace in customer service","Nov 6, 2022",Rated 3 out of 5 stars
52,WORCESTER ZIZI  so why weren't we offered a sweet,WORCESTER ZIZIOkSo why were we not offered a sweet????Nibbles : Olives : Breads sounds simple: but they were excellent served on there own so added the soul breads with balsamic warm  and delicious Bruccheta starter delicious Main : Spaghetti Bologna delicious First time here food great tasty ambience just right bustling just how it should be So would of got 5 stars but customers seem to dissappear around 920pm felt rushed then as they close 10pmHence offered no sweetShame Staff lovely prices in line with other local restaurants Tip:  if only have half hour before closing you must offer a Sweet ?Just came back from Italy Amalfi coast where the world famous Limoncello is produced  would have loved to try the Limoncello Tart but Zizi rushed us out Very good evening,"Jul 23, 2022",Rated 4 out of 5 stars
53,Outstanding customer Service,I was most impressed Sofia who gave me outstanding customer care and exceeded my expectations. I noticed that everyone table she served she treated everyone impeccably ensuring their needs and expectations were met. You can tell how much she enjoys her work and providing excellent customer service. She must have an exceptional career ahead of her at Zizzi as I can see her training other staff in the future - she was so professional and attentive throughout my dinning experience today!,"May 27, 2023",
54,perfect flavours,"Ordered pasta with smoked salmon. Rich flavour, amasing pasta. no extra salt or pepper needed. Prawns for starter were great as well. Aperol just how it must be. Perfect. Thank u .","Jul 21, 2023",
55,Zizzi Camberley,We went to the Camberley restaurant last night. Robbie was absolutely brilliant. He was really attentive and was joking around with us the whole time too. He's a real credit to the team. Thanks again.,"Feb 18, 2023",
56,Zizzi at Westfield Shepherds Bush,"Zizzi at Westfield Shepherds Bush. Pizza’ came without plates to eat from. When we asked for plates, the waitress was very surly and demanded we say “please” before she would bring us plates. Ordered wine and had to remind them 3 times about this. We had then almost finished all our food and wine still not delivered so we cancelled this. Bill came showing wine which was never supplied but they removed it from the bill. Food was ok but we would never go again - highly recommed to avoid this place","Jul 30, 2023",Rated 1 out of 5 stars
57,Never made a review before but this was…,Never made a review before but this was a very poor experience meals were very bland and had a 10 inch hair added drinks ordered arrived at the end of the meal our table was right next to the kitchen and had to put up with a loud beeping throughout the meal,"Sep 24, 2023",Rated 1 out of 5 stars
58,Guilty of using cheaper ingredients and…,Guilty of using cheaper ingredients and charging more!! The bruscetta is no longer ciabatta but on bread which got very soggy and yukky. They said they changed because ciabatta goes stale quicker than bread but that's not my experience and sounds like a feeble excuse.,"Dec 6, 2022",Rated 2 out of 5 stars
59,"Lunched in Zizzi, Exeter","Lunched in Zizzi, Exeter 08/11/22.We were served by Josh who was cheerful and helpful.I had a 6 layer lasagne and my wife had the king prawn starter as her main. We shared a portion of garlic bread.All of our food was excellent. We both had the chocolate brownie desert, definitely death by chocolate.The restaurant could have been a tad warmer but we were the first to arrive and it had warmed up by the time we left when 20 or so more people had arrived.Sad to see that the Tesco voucher scheme is finishing at the end of the year.Overall, a very pleasant experience.","Dec 9, 2022",Rated 4 out of 5 stars
60,Amazing experience,Amazing experience. Went there with the family including my 2 young granddaughters. They were great with the children. So friendly and very accommodating all round. Great food and great meals for kids.,"Aug 30, 2022",Rated 5 out of 5 stars
