,Company Name,Title of Review,Review Description,Date of Review,No. of stars
10,Franco Manca,Went in yesterday walk of staffked out after 10…,"Went in yesterday walked out after 10 mins waiting to be served, dirty glasses and coke bottles on table,think they need more staff as went in when they 1st opened and service was excellant","Sep 5, 2023",Rated 1 out of 5 stars
11,Franco Manca,Nicest pizza restaurant…,"Nicest pizza restaurant I have ever eaten at. After my friend kindly introduced me to this place I have been back twice more. Unreal food, brilliant service, friendly servers and an amazing atmosphere. Enjoyed my time so much and would definitely recommend to a friend.","May 11, 2023",Rated 5 out of 5 stars
12,Franco Manca,Such a fantastic experience,"Such a fantastic experience. It was really busy when we arrived but the food was very quick and exactly as we’d ordered. Our waitress Angel was so helpful, She did everything to make us as comfortable as possible. She was truly an asset to the company ! Will definitely be returning.","Apr 28, 2023",Rated 5 out of 5 stars
13,Franco Manca,Just eaten at Covent Garden,Just eaten at Covent Garden . I never write reviews but feel I should this evening. The front of house manager Imi was wonderful. His relationship with his staff is obviously positive and this shows in the level of customer service. An extremely good experience. I would highly recommend this restaurant,"Apr 2, 2023",Rated 5 out of 5 stars
14,Franco Manca,"Uncooked, cold/lukewarm, burnt food","Our experience with the Lincoln branch was poor in every respect. Food arrived cold/lukewarm, burnt and uncooked in places. The sourdough base for both pizzas was soggy in texture and the focaccia black and burnt. Management made contact and provided assurance that they would look into matter. One week later, despite having my contact details, just one silent 25 second recorded phone message was left.","Jun 4, 2023",Rated 1 out of 5 stars
15,Franco Manca,Negligent with regard to food allergies,I ordered gluten free pizza from this store and they accidentally made me a normal pizza containing gluten. I'd eaten some of it before questioning and then they confirmed they'd made a mistake. I was on a strict gluten free diet post gut surgery and ended up in a lot of pain for 24 hours plus it was a very scary experience. The restaurant didn't even offer a refund of the food. They investigated and admitted the mistake but said all their procedures were fine as it was the fault of the ticket system! They really don't seem to understand the importance of getting it right when it comes to allergies or contraindications. Thankfully I had no long-term issues but they could kill someone with this attitude.,"Aug 18, 2023",Rated 1 out of 5 stars
16,Franco Manca,Mr Erland at the Franco Manca…,Mr Erland at the Franco Manca restaurant on Upper Street Islington was extremely helpful and courteous.  He knows how and why! Never to be forgotten! A,"Aug 2, 2023",Rated 5 out of 5 stars
17,Franco Manca,My Favourite Place to Eat!,"Franco Manca is hands down my favourite restaurant. Well-priced food, and the olives are to die for. I've ate at Putney, Richmond, Wimbledon, Battersea, and both the Westfields branches, and the dining experience has been superb at every one. The only one that didn't quite meet the same standards as the others was Cambridge, but it was during Eat Out to Help Out so I assume this could be down to the current restrictions when eating out, and how busy it was. Overall, I adore Franco Manca!!!","Updated Jan 10, 2021",Rated 5 out of 5 stars
18,Franco Manca,Not told about so much extra bills,"Went in expecting to use a unidays student discount and asked about it and got told that it was fine to use to ate here with that budget in mind, then after we ate our food and went to pay we got told that we couldnt use our discount and we had to pay full price plus extra bills we didnt know about. Ridiculous prices for the food anyway but not being told about the discount not good","Aug 18, 2023",Rated 1 out of 5 stars
19,Franco Manca,Consistent high standards.,Consistent high standards.As ever our local Brighton restaurant ticks all the boxes. Thank you to Marie and the team for looking after us. No pizza like it anywhere near.,"Aug 3, 2023",Rated 5 out of 5 stars
20,Franco Manca,Staff refused to do a gluten free pizza…,Staff refused to do a gluten free pizza for my daughter. Chef? it seemed just couldn't be bothered. It’s on the menu and they charge a hefty extra cost for it. Why are places like this so bad with this disability? Did complain but they didn’t even reply. Sums them up.,"Sep 27, 2023",Rated 1 out of 5 stars
21,Franco Manca,Slow service and poor website,"Pizza is nice. The app and website are terrible and often fail. Service is mixed. Sometimes good, but sometimes very slow. I’ve waited 30mins for a take away pizza. Generally, just order delivery via Deliveroo. It’s more expensive this way but you save 30 mins of your life.","Jul 8, 2023",Rated 3 out of 5 stars
22,Franco Manca,Rubbish Pizza in Richmond,"Rubbish Pizza in Richmond, Pappy, tasteless, undercooked. Very disappointed as out with 40 year old friendship meeting. Very attentive staff but  what a crap deal meal. As we say not eating here again and will pass the crap message on.","Jul 12, 2023",
23,Franco Manca,What's Gone Wrong?,"Soggy tasteless base and rubbery low quality cheese. Buffalo mozzarella no longer available. we used to look forward to coming here, but this wasn't a one-off. This was the third consecutive 1* standard from the Canary Wharf branch of this chain. We won't be going again.","Jul 10, 2023",Rated 1 out of 5 stars
24,Franco Manca,Went to the Trafford Centre today…,Went to the Trafford Centre today arrived at 12.05 for lunch restaurant was closed and nobody about- eventually saw a member of staff waved them over got served - starter was cheesy garlic bread dry and only dressed in the middle- had a margarita with buffalo cheese it was like a swamp very watery and pizza not sliced trying to slice at the table was a right pain - very disappointing and staff looked as miserable as sin - definitely not going back much better pizza places than this,"Aug 26, 2023",Rated 2 out of 5 stars
25,Franco Manca,One of the very best pizza in London,"One of the very best pizza in London. Properly neapolitan style (sourdough), usually kind staff, reasonable prices, and generally good music in the background. No wonder they started with 1 restaurant, and now have over 30 in London alone. Only minor reservation: tiramisu' is nothing to write home about. Overall anyway highly recommended :)","Jul 22, 2021",
26,Franco Manca,Great Pizzas at Affordable prices,"Great Pizzas at Affordable prices. I like Franco Manca, haven't to any of their restaurants since the pandemic.They are usually very busy during the week days at lunch and dinner time. If you don't arrive early (before 12pm for lunch and before 5.30pm for dinner) you will find yourself queuing for at least 30 min.A very popular restaurant in central London.","Jan 30, 2021",Rated 4 out of 5 stars
27,Franco Manca,Average pizza,"Average pizza, I had better pizzas. The big minus is when you order it take away they are not packing olives for you, I previously ordered a pizza from different pizzeria and they packed chilli and garlic oil for me without a problem. Also take away pizza should come sliced which would be easier than cutting at home.","Nov 13, 2021",Rated 3 out of 5 stars
28,Franco Manca,Franco Manca @Bath,"Franco Manca @Bath - what a brilliant place, excellent staff and the food - well wow!Both my children (9 & 3) ate so well and enjoyed their pizzas too.  Great fresh food at a reasonable price in a wonderfully creative setting. We will return!","Nov 11, 2020",
29,Franco Manca,Visited the Edinburgh restaurant during…,"Visited the Edinburgh restaurant during a city break with my son, the service, staff and food was excellent, Tim the assistant manager greeted us at the door and set the tone that we could expect from our visit and the staff and food didn’t let him down, I run my own business so know 1st hand how difficult it is getting the right staff and keeping them motivated, you’re doing an excellent job, thank you for looking after us so we’ll.Regards,Mark and Mark jnr","Aug 24, 2021",Rated 5 out of 5 stars
30,Franco Manca,Chichester meal for two,"Chichester. First time using this chain. Not impressed. Staff very polite and helpful but tables are tiny, not enough room for plates and glasses, let alone dips or oil bottles etc. The huge pizza crust forms about 5cm of the perimeter of the pizza, so only the middle of the pizza has any topping! For us it was far to soggy underneath (I like sourdough but this was stodgy) and the large crust was heavy to consume. The toppings weren't well or evenly constructed and not much flavour either. Sadly a disappointment all round and likely won't be re visiting. After reading the reviews post our experience, I see some people have quoted 'best pizza' in their review??? Maybe other branches are better? We politely informed our waitress of our constructive criticism and she was very polite and professional in her response.","Jul 1, 2023",
31,Franco Manca,Great experience at Franco Manca Ealing,Great experience today at the Franco Manca in Ealing. We were there for celebrating my friend birthday . We were a big group with 5 kids and staff was amazing and very friendly. The person who served us diserve 5 stars for the customer service skills. He was frequently checking on us if we were needing anything and updating us about the waiting time for the drinks and pizzas which was very fast. I gave them 4 starts instead of 5 because I brought an ice cream cake and instead of putting it in the freezer they put it in the fridge because they did not have space and it was not in the original condition and almost melted when we had it.,"Nov 14, 2021",
32,Franco Manca,Visited Aldwych WC2 Francomanca on 14 Oct 2021…,Visited Aldwych WC2 Francomanca on 14 Oct 2021 as a single lady.Was politely allocated a table outside by Ali who made the Tiramisu this morning which I had and I enjoyed a glass of rose with it.   Both delicious.Lovely service and would defo visit again.,"Oct 16, 2021",Rated 5 out of 5 stars
33,Franco Manca,Food Poisoning,"My Partner and I went to the holborn branch back in December 2022. We both got food poisoning from the food we ate there.  After looking at our photos of the food, we noticed some white marks on the basil leaves, I contacted customer services… who said they would investigate, its now March 2023 and I’ve heard nothing back , even after 4 messages from my side, checking for updates.    Unfortunately this place has lost it’s reputation… just another high street brand taking the population for their hard earned pound.","Mar 14, 2023",Rated 2 out of 5 stars
34,Franco Manca,Terrible service and they lie about…,"Terrible service and they lie about delivery. I waited over an hour for my order which was due to arrive 35. Minutes ago. I called them and they blamed the delivery guy. I contacted the delivery guy who said the food isn’t ready yet. It arrived and is stone cold, breaching all sorts of food hygiene regulations. First and last time! I would avoid if you’re considering.","Jul 1, 2023",Rated 1 out of 5 stars
35,Franco Manca,Amazing customer care from start to…,Amazing customer care from start to finish Great food 🍕 Lovely staff and fantastic restaurant 🍷 Thanks to Dean and your amazing team at Trinity Leeds,"Apr 15, 2023",
36,Franco Manca,One star and here's why,"Clearly the last thing the Bournemouth square branch needed was more eat in diners the evening we went there. One waiter was attempting to cover what seemed like the whole restaurant. To his credit he remained cheerful and professional but he was swimming against the tide. The jug of water he offered to get for us never materialised. We did eventually manage to get a couple of pizzas which were underwhelming to say the least. Mine -the vegan special of the day- was so spicey as to be almost inedible. All in all, a less than satisfactory experience.","Aug 11, 2022",Rated 1 out of 5 stars
37,Franco Manca,Awful !!,This is the second time when we ordered pizza from Franco manco through delivery and the food was not delivered to us for 2 hours - we ordered at 8 pm and when we called the Putney branch they had not even put the pizza in the oven It’s is really the most awful place u can think of - never eating therr and definitely never ordering from there,"Apr 30, 2023",
38,Franco Manca,I had an amazing Experience in Franco…,"I had an amazing Experience in Franco Manca, i have been looking for vegan pizza for a long time and I’m pregnant. I’m very picky with food. The food was beautiful, I thank the beautiful sanita for the special   service I received . She’s a beautiful young woman who looked after me. I would go there all the time. They have a great atmosphere.","May 29, 2022",Rated 5 out of 5 stars
39,Franco Manca,My daughter & her friends ate at the…,"My daughter & her friends ate at the Exeter Franco Manca yesterday and ordered 2 Margherita pizza + a pizza with halloumi & potato - all 3 girls fell ill with stomach cramps - 1 of the girls vomited an hour after eating. I suspect the dough was not properly cooked...The server also seated a table of 10 after they arrived - that table got served before they did & got their food before they did - unprofessional...On telling Manager Jason of the incident the restaurant passed the details to a ""third party"" & refused to refund the meal.Very bad experience.","Oct 27, 2022",
40,Franco Manca,Food if good but you need to sort some…,Food if good but you need to sort some wine glasses  & desert glasses as drinking wine in water glass is not appropriate at all.. I've never seen another restaurant servings wine in a not wine glass,"May 16, 2022",Rated 3 out of 5 stars
41,Franco Manca,We will definitely come back,"Just an amazing experience. Great quality of food, good prices and the restaurant supervisor Dounia look after us so well, we had just an amazing staying.We are very thankful. Thank you all guys.Stunning!!","Aug 6, 2021",Rated 5 out of 5 stars
42,Franco Manca,The staff were so rude,"The staff were so rude , especially the girl with black hair , she even didn’t ask do we want to add service charge to the bill , she just added it . Very disappointed. Also they were giving everyone gifts , some cake ,  however we did not receive them.We are a regular customers at Franco Manca in Westfield shopping centre but will never go there again .","Dec 26, 2021",Rated 1 out of 5 stars
43,Franco Manca,Bad Service - South kensington…,"Went in today to south kensington branch,  walked out after 15 mins waiting to be served, service is non existance.","Updated Sep 5, 2023",
44,Franco Manca,Please invest in proper glasses,10/10 for the pizza. Terrible service though. Please invest in proper glasses! Wine should be served in a wine glass. Cocktails in a cocktail glass. Not one glass for everything! Will order takeaway or delivery. Not a nice experience dining in.,"Jan 14, 2023",Rated 3 out of 5 stars
45,Franco Manca,We've just eaten at FM Kentish Town,"We've just eaten at FM Kentish Town, and we are very disappointed with the quality of both the staff and the pizza. The pizza base was cooked but not the topping, this was cold. At no point were we asked if we were happy with the food, probably because they realised they'd served sub standard pizza. Such a pity since in the past we've always enjoyed our evening there, what's gone wrong??","Apr 1, 2023",Rated 1 out of 5 stars
46,Franco Manca,The pizza was one of the best I have…,"The pizza was one of the best I have ever had. The service was excellent, with very friendly staff, in a fully packed restaurant. However the noise!……….I have never been subjected to such a loud racket in a restaurant before. Very loud rock music blaring out all evening, while people were talking as loud as possible. I found it very hard to have a conversation with the people I was with. I checked the decibel level and it was over 90 at times. I dread the thought that the hardworking staff will suffer hearing problems.","Dec 13, 2021",Rated 3 out of 5 stars
47,Franco Manca,Pizza tasted like cardboard no joke…,Pizza tasted like cardboard no joke ..it used to be good but unbelievable today was probably better if a was get a frozen pizza restaurante as don't know which would be worst ..,"Jun 21, 2023",Rated 2 out of 5 stars
48,Franco Manca,Visited the Southfields restaurant a…,Visited the Southfields restaurant a few weeks ago and found the Covid precautions well thought through but not distracting and the food was great! The prosecco is almost worth coming for alone,"Oct 5, 2020",Rated 5 out of 5 stars
49,Franco Manca,2nd chance - wrong,"The week their Greenwich branch opened I bought a Wild Mushroom Pizza (day special) and got food poisoning after one slice. They refused to refund my money. 4 years later I thought I'd give them a 2nd chance. Their Margarita was the worst tasting pizza I've ever had and made me feel nauseous, I threw it away. More fool me.","Jul 12, 2023",Rated 1 out of 5 stars
50,Franco Manca,"Bad service, good food","The food was good, but I felt front of house more concerned with finish times, as I came later on. I ordered affogato after pizza only to be told machine had been cleaned already, I could gave been awkward but chose not to be. Food good, service below average","Sep 18, 2022",Rated 3 out of 5 stars
51,Franco Manca,ESTABLISHMENT RUN BY CLOWNS,"I am severely allergic to milk and always order VG cheese in my pizzas. This past Sunday, we ordered some pizzas from our local branch. I was devouring my dinner when I realised something was wrong - there was regular cheese on my food. No dietary restrictions were followed! I decided to talk to the manager and tried to explain the severity of what had just happened and how people could die because of allergies. He could not care less and treated me like I was complaining about a wrong order or cold food. However, the worst part of this interaction came from the establishment's Chef - an establishment run by clowns. He told me, and I am repeating this verbatim: ""I am very happy you are not dead"".PLEASE - AVOID THIS RESTAURANT AT ALL COSTS.","Nov 23, 2022",Rated 1 out of 5 stars
52,Franco Manca,As usual Franco Manca have the best…,"As usual Franco Manca have the best customer service. I visited the branch at Soho with lovely service of Imi the manager. Lovely food, fast service.","Jun 16, 2023",Rated 5 out of 5 stars
53,Franco Manca,Awful experience- avoid,"Awful experience. Really disappointed with food and service. Wished we went somewhere else. Went to Trafford Centre branch. Order tomato, mozzarella and basil pizza which arrived without the basil. Taste was average. My friends flatbread was dry and had stale rocket on it. When complained about it we got 10% knocked off the bill but this was just the service charge that they add on without your permission. Not sure what service charge they can justify taking, not once did we get asked how the meal was or if we needed anything. Our waiter seemed to be unhygienic which was off-putting from the start. Needs big improvements or shutting down!","Sep 1, 2022",Rated 1 out of 5 stars
54,Franco Manca,Chiswick…,"Chiswick…. Great service Went on a Friday eve, the restaurant was full and they seemed short on staff. None the less the service was very good with a smile and the pizza was great!","Sep 11, 2023",Rated 5 out of 5 stars
55,Franco Manca,I tried the new chavvy pizza :),"I tried Franco Manca in Exeter twice in a row. I had n. 4 and I expected to see parma ham on my pizza. No, it was cured ham and British (?) mozzarella with a bit of tomato that looked like if someone had bled on it. Disappointing. Is it coz of Brexit so that it costs too much using proper Italian ingredients? I never tried a pineapple pizza but I suppose it was that level of disgust :) Anyway, let's keep an open mind. I liked the environment though, the service was good and the staff nice and friendly. The dough is good as always and I enjoyed my n. 2 the next day.  since now, only margherita....","Jun 5, 2022",
56,Franco Manca,Best pizza yet!,"I visited the Manchester restaurant recently and absolutely loved the pizzas, totally delicious! Slightly disappointed they can’t do a garlic base as my son only usually east that, but to my surprise he didn’t complain and ate his entire margarita!","Jun 6, 2022",Rated 5 out of 5 stars
57,Franco Manca,At the Trafford centre restaurant we…,At the Trafford centre restaurant we were served by Dante ! great service and a fantastic interaction .,"Aug 24, 2023",Rated 5 out of 5 stars
58,Franco Manca,Absolute **** service,Absolute **** service at Putney.  Rude waitress who could not give a ****. Walked away in mid-conversation while I was asking about a table that no one could possibly get in to without climbing or having the customers on the next table. Said everyone else manages and just walked away. How ******* rude. Probably spit in our food  if we had actually stayed.,"Updated Mar 26, 2022",Rated 1 out of 5 stars
59,Franco Manca,Franco Manca in Bishopsgate.,"Franco Manca in Bishopsgate.Lovely food, excellent attentive service, nice atmosphere.  Would definitely come again.  Lunch, Saturday 18th June 2022.","Jun 18, 2022",Rated 5 out of 5 stars
60,Franco Manca,I visited Franco Manca Richmond,"I visited Franco Manca Richmond,  we were very  welcome by the manager Luigi, great Costumer service,  excellent food. 👏","Jul 13, 2023",
61,Franco Manca,Absolutely disgusted with their…,Absolutely disgusted with their restaurant and now delivery. Why isn't there ZERO stars on here. In their restaurant we got food poisoning and now the delivery wS completely wrong. Had to chase after the driver and then argue for a refund. SORT THINGS OUT FRANCO MANCA. ABSOLUTELY DISGUSTING CUSTOMER SERVICE!!,"Apr 2, 2022",
62,Franco Manca,Franco Manca Greenwich RUDE STAFF,"The man who served us  (around 6:30 on 8/4/2021) was so rude and stroppy, we were very polite to him and his rude attitude was so unnecessary, its as if he didn't want us to order anything.  We wish we had just cancelled our order and not given them our money, definitely would not go back here again.","Apr 8, 2021",Rated 1 out of 5 stars
63,Franco Manca,Excellent as always here in Reading…,Excellent as always here in Reading Franco Manca. Bee has an excellent communication skills. Happy to be back …,"Jun 17, 2023",Rated 5 out of 5 stars
64,Franco Manca,The restaurant in Waterloo  - mainly dough,"The restaurant in Waterloo - staff were good , but one guy was obviously being bullied by senior staff members , he was doing half the work but only getting told off all  the time. The pizza was 98 percent dough , with a smearing of ingredients , the so called garlic bread was similar in composition and burnt in places.definitely wins the ‘ most dough, least ingredients’ award. Not an experience  to repeat .","Feb 13, 2022",Rated 2 out of 5 stars
65,Franco Manca,Oh dear ….,We decided to go to Kingston’s Franco Manca and to be fair we didn’t book. The restaurant was busy but not overly. We sat at the table before presumably the manager ( who whispered and we couldn’t hear what she was saying  ) came to serve us and only because I caught her attention. Well over 45 mins later the food had not  arrived but I guess with only two chefs & a restaurant half full along with outside orders we kind of set the expectation. Lots of serving staff looking like they had no idea what they were doing. More disappointed that we weren’t at least spoken to or acknowledged and that for me is a big fail in customer service .We ended up leaving but not before paying for the two drinks we had and no apology.  We’ve been to the one in Oxford and that was awesome but I won’t be returning I’m afraid.,"Oct 1, 2022",
66,Franco Manca,non existent service! stay away,"Food good (like last review) service non existent.  Ordered 9 pizzas, 7 arrived, after contacting the restaurant, the comment was verbatim: 'the driver gave them to someone on the street then'  will not order again from this place!","Jun 29, 2022",Rated 1 out of 5 stars
67,Franco Manca,Chunky and dry pizza,"I ordered a pizza which was not well cooked at all. The ingredients were thrown on top into chunks which didnt melt even when I popped it in the oven as recommended. The pizza had far too much N'duja, which was not nicely distributed. The pizza had far too much oil and the mozzarella was dry. This is not the first time I've been disappointed by Franco Manca - often I have had to order extra amounts of basic ingredients (such as tomato sauce& mozzarella) to make it taste as  a good pizza should. I don't think I'll be spending another 15 pounds on a pizza which does not meet basic expectations.","Aug 29, 2021",Rated 2 out of 5 stars
68,Franco Manca,Dreadful service in Lincoln,"Dreadful service in LincolnIf could give zero stars I would, their service is awful, and the management is very poor. I have been waiting at the door to be seated for more than 15 minutes, then received a table that was sticky and oily, they have not been bothered to clean it until i told them. After one hour I received a pizza that was mainly burned, and the middle part was missing the dough, it had just the tomato sauce. Their toilets do not have the toilet roll and heating is not available. When i asked for the bill, i was shocked to see they add tips for themselves before asking the customer for approval.","Dec 3, 2022",Rated 1 out of 5 stars
69,Franco Manca,recommend,"went to trafford franco manca , our server dante was rlly friendly and helpful and the food was so nice will be back","Jul 15, 2023",Rated 5 out of 5 stars
70,Franco Manca,Lack of Latte,"2 cold coffee's served in juice glasses, for a out £8. Certainly not value for money. Customer on the next table was served a large wine in the same style glass.  Would not recommend this place.Cannot comment on the food as we were to afraid to try it.","Aug 16, 2023",Rated 1 out of 5 stars
71,Franco Manca,pizza dough was tasteless and not…,"pizza dough was tasteless and not cooked. This resulted in one of our party being sick later on.I have never had a pizza with such a meagre topping.No flavour at all. The staff were offhand, customer service skills were  non existent. An expensive mistake which will not be repeat,","Jul 23, 2022",Rated 1 out of 5 stars
72,Franco Manca,"Exellent value, great pizza","Really great selection of pizza and sides, service is always top notch regardless of location. Excellent value for money. One of my favs.","Aug 10, 2022",Rated 5 out of 5 stars
73,Franco Manca,I was  regular  customer in Franko…,I was  regular  customer in Franko Manga in Bromley till today.First) half of the restaurant has been close the other half  was over crowded. Obviously they don't care about Covid. Second)I have been servied burd pizza and the staff is very rude.Third)  they add 10 % of the top of your bill   as they always do without even asking called optional service I'm sorry Franco Manga but you lost me as a customer me  and my son will never came back again.,"Jan 3, 2022",
74,Franco Manca,Poor quality and not worth the price…,"Poor quality and not worth the price for what you get compared to other pizzerias I've been to. The burrata was cheap and not runny, the nduja cheap and the dish tasted oddly sweet. The pizza with wild mushrooms, ham and little tomato didn't look appetising and tasted worse than Domino's pizza. Also hated the fact there was no tomato base for it just tomato sauce slammed on top of the really cheap undercooked ingredients. The service was fairly quick although the staff looked exhausted. The atmosphere was nice but the music was way too loud I couldn't talk to my parent well. I am glad the manager told us it was on a house because I wouldn't have honestly paid for such poor quality food that was also rather expensive for what it is worth.","Jul 16, 2022",
75,Franco Manca,The best pizza outside of Italy,The best pizza outside of Italy. I had the vegetable special. Friendly quick service. Will definitely be back,"Jun 24, 2023",Rated 5 out of 5 stars
76,Franco Manca,The best quality pizza dough i've…,"The best quality pizza dough i've experienced in 30 years, but a 12 inch is really a 9 inch and no passata on the base, which is standard requirement, then a few toppings , not enough to justify 50 pence combined. I had mine delivered by ubereats and it was also cold, so I'd obviously been the last of the line with it being delivered on a bike.  I left feedback, but they do not show it and or bother to come back to you, so they will fail as a business, which is sad. This is not value for money. it's worth a fiver not 15 delivered and you'll require 2 to be half satisfied if you are not on a diet","Jul 28, 2022",
77,Franco Manca,Food does not meet appropriate legal and quality standards.,"Avoid! Food does not meet appropriate legal and quality standards. Franco Manca Richmond is supplying food that is very poor or unsafe. Three times in less than eight months I've received food gone bad. First time, dine in, was a rancid lemonade. Second time, home delivery, I had food poisoning from the Yogurt and Honey, Lemon and Almond Cake. Third time (and last one - as I will never consider to get any food or drink from this place ever again) the Mixed Leaf Salad I ordered was old, gone bad, part of it was brown and slimy, far beyond its 'best before' date.","Dec 15, 2020",Rated 1 out of 5 stars
78,Franco Manca,I'll give 2 stars just for the pizza…,"I'll give 2 stars just for the pizza base. Zero stars for value for money and service. Staff appeared to be running around and working under extreme pressure and getting their attention for more drinks/salt/serviettes was not easy. I felt sorry for them to be honest. Went to the new restaurant in Kingston on Thames and ordered a vegan special. The base was lovely the topping was substandard. The bits of unrecognisable veg, which in total added up to about 4/5 tiny pieces,looked like they were thrown on the pizza. No care taken at all. Won't be going back there in a hurry.","Jul 7, 2022",Rated 2 out of 5 stars
